sku,ean,regular_price,stock_quantity,stock_status,manage_stock,post_title,brand
36742,4002888367424,3.45,11,instock,yes,"Lindy 36742 2m USB 3.2 Type A to Type B, Anthra Line",LINDY
ASU630SS-480GQ-R,4713218469182,42.49,13,instock,yes,"Adata Ultimate SU630 (ASU630SS-480GQ-R) 480GB 2.5 Inch SSD, SATA 3 Interface, 520MB/s Read, 450MB/s Write, 3 Year Warranty",ADATA
X870 PRO RS WIFI,4710483949333,141.2,92,instock,yes,"ASRock X870 PRO RS WIFI AMD AM5 Socket Motherboard, ATX, 4x DDR5 Slots, 3x M.2 Sockets, Fitted I/O Shield, 2.5GbE LAN, Wi-Fi 7, 1x HDMI Port / 2x USB-C (USB4)",ASROCK
ER706W,4895252500691,119.63,12,instock,yes,TP-Link Omada ER706W AX3000 WiFi 6 Gigabit VPN All-in-One Gateway Router,TP-LINK
EAP235-WALL,0845973088972,51.0,6,instock,yes,TP-Link Omada EAP235-Wall AC1200 Wireless MU-MIMO Gigabit Wall Plate Access Point,TP-LINK
21485892,5397231038847,25.31,17,instock,yes,"Norton 360 Plus Mobile 1 Device 1-year Subscription, Includes Secure VPN, Password Manager, Dark Web Monitoring and AI-Powered Scam Protection Across Email, Texts, Calls and Web, iOS and Android Retail Boxed",NORTON
ARCHER T3U NANO,6935364072674,11.3,60,instock,yes,TP-Link Archer T3U Nano AC1300 Nano Dual Band Wi-Fi USB Adapter,TP-LINK
BW025,4260052192542,79.95,33,instock,yes,"be quiet! Silent Loop 3 360mm All-in-One Liquid CPU Cooler, ARGB Lighting, Silent Wings 4 Fans, 3-Chamber Pump, High-Performance Cooling for Intel & AMD CPUs",BEQUIET
TL-SG1005P,6935364083229,27.85,14,instock,yes,TP-Link TL-SG1005P 5-Port Metal Gigabit Desktop PoE Switch with 4-Port PoE+ (65W),TP-LINK
BGW85,4260052193884,84.38,37,instock,yes,"be quiet! BGW85 Light Base 500 LX Mid Tower Gaming Case, 1 x USB Type-C / 2 x USB 3.2, Tempered Glass Front and Side Window Panel, Dual Chamber Layout, 4 x Pre-Installed ARGB Light Wings LX Fans, ATX, Micro-ATX, Mini-ITX Compatible",BEQUIET
UX3405CA-QL241W,4711387866801,869.89,9,instock,yes,"ASUS Zenbook 14 OLED UX3405CA-QL241W,14 Inch 1920 x 1200 OLED Touchscreen, Intel Core Ultra 5 225H Processor, 16GB RAM, 512GB SSD, Windows 11 Home",ASUS
X870 NOVA WIFI,4710483942754,195.43,9,instock,yes,"ASRock PHANTOM GAMING X870 Nova WiFi AMD Socket AM5 Motherboard, 4 x DDR5 Slots, 5x M.2 Socket, 5GbE LAN, Wi-Fi 7, 1x HDMI Port / 1x USB-C (USB4)",ASROCK
DTX/128GB,0740617309928,6.55,404,instock,yes,Kingston DataTraveler Exodia 128GB USB 3.2 Blk/Yellow USB Flash Drive,KINGSTON
DTKN/128GB,740617309119,14.47,39,instock,yes,Kingston DataTraveler Kyson 128GB USB 3.2 Capless Metal USB Flash Drive,KINGSTON
YD3200C5FHBOX,730143309851,41.27,12,instock,yes,"AMD Ryzen 3 3200G 4 Core AM4 Processor 3.8GHz up to 4.0GHz Boost, 6MB Cache, 65W, with Wraith Stealth Cooler, Radeon Vega 8 Graphics   ",AMD
ER706W-4G,0840030705267,169.31,7,instock,yes,TP-Link Omada ER706W-4G 4G+ Cat6 AX3000 Gigabit VPN Router,TP-LINK
SXS1000/2000G,0740617338508,250.8,3,instock,yes,"Kingston XS1000 (SXS1000/2000G) 2TB Portable External SSD, Read 1050MB/s, Write 1000MB/s, USB 3.2 Gen 2, 5 Year Warranty",KINGSTON
RB-02-4GANGSWD,5055781240140,8.46,1,instock,yes,2m 4 Gang Surge Protected LED Indicator Individually Switched UK Mains Extension - White,TARGET
90-ASLA36-BAAGA5,4711581493551,96.63,4,instock,yes,"ASRock Steel Legend Dark 360 LCD AIO Liquid CPU Cooler, 360mm Radiator, Triple 120mm PWM ARGB Fans, LCD Display, Intel LGA1700/1851 & AMD AM5/AM4 Compatible",ASROCK
AUV128-128G-RBE,4713435799444,7.37,40,instock,yes,"Adata UV128 128GB USB 3.2 Gen 1 Flash Drive, Capless Design, Black/Blue",ADATA
BL135,4260052192900,16.37,20,instock,yes,"be quiet! Light Wings 140mm PWM Reverse, White, ARGB Lighting, Ultra-Quiet Operation Max 25.5dB(A), High Airflow, 60,000 Hours",BEQUIET
SXS1000R/2000G,740617338508,250.8,7,instock,yes,"Kingston XS1000 Red (SXS1000R/2000G) 2TB Portable External SSD, Read 1050MB/s, Write 1000MB/s, USB 3.2 Gen 2, 5 Year Warranty",KINGSTON
X870 RIPTIDE WIFI,4710483949357,178.88,5,instock,yes,"ASRock X870 RIPTIDE WIFI AMD AM5 Socket Motherboard, ATX, 4x DDR5 Slots, 3x M.2 Sockets, Fitted I/O Shield, 2.5GbE LAN, Wi-Fi 7, 1x HDMI Port / 2x USB-C (USB4)",ASROCK
LS105G,6935364085483,9.81,6,instock,yes,TP-Link LiteWave LS105G 5-Port 10/100/1000Mbps Metal Gigabit Desktop Network Switch,TP-LINK
CDEX-702K,5711045545894,2.59,36,instock,yes,SVGA (M) to SVGA (M) 2m Black OEM Display Cable,TARGET
TM8PS7256G0C101,765441040960,41.59,29,instock,yes,"Team MS30 (TM8PS7256G0C101) 256GB, M.2 Sata Interface, PCIe Gen3, Read 550MB/s, Write 470MB/s, 3 Year Warranty",TEAM
TL-MR100,1210002609265,45.8,20,instock,yes,TP-Link TL-MR100 300Mbps Wireless N 4G LTE Router,TP-LINK
TL-SG108PE,6935364094751,45.9,19,instock,yes,TP-Link TL-SG108PE 8-Port Metal Gigabit Easy Smart Switch with 4-Port PoE+ (64W),TP-LINK
KCP556UD8-32,740617334395,330.48,12,instock,yes,"Kingston KCP556UD8-32 32GB (1x 32GB) DIMM System Memory, 5600MHz, DDR5, CL46",KINGSTON
USB3C-901,5055781233777,4.61,12,instock,yes,USB 3.1 Type-C (M) to USB 3.1 Type-C (M) 1m Black OEM Data Cable,TARGET
AHV620S-4TU31-CBK,4713218463715,97.84,4,instock,yes,"Adata HV620S 4TB USB 3.1 2.5 Inch Portable External Hard Drive, Black",ADATA
36470,4002888364706,2.23,19,instock,yes,"LINDY 36470 Black Line HDMI Cable, HDMI 2.0 (M) to HDMI 2.0 (M), 0.5m, Black & Red, Supports UHD Resolutions up to 4096x2160@60Hz, Triple Shielded Cable, Corrosion Resistant Copper Coated Steel with 30AWG Conductors, Retail Polybag Packaging",LINDY
B760M-HDV/M.2 D4,4710483942020,51.85,185,instock,yes,"ASRock B760M-HDV/M.2 D4 Intel 1700 Socket Motherboard, Micro-ATX, 2x DDR4 Slots, 2x M.2 Sockets, GbE LAN, 1x D-Sub / 1x DisplayPort / 1x HDMI Port",ASROCK
KM7321WGY-UK,5397184357446,54.5,582,instock,yes,"Dell KM7321W Premier Multi-Device Keyboard and Mouse Combo, 2.4GHz / Bluetooth 5.0 Wireless, 12 programmable keys for PC and Laptop, QWERTY UK English Layout, Sliver",DELL
570-AAIR,0884116194750,5.85,156,instock,yes,"Dell MS116 Wired USB Mouse, 2-Buttons, 1000dpi and Optical Tracking, Ambidextrous Design for PC, Mac and Laptop, Black",DELL
KF432C16BBK2/32,KF432C16BBK2/32,346.27,10,instock,yes,"Kingston FURY Beast KF432C16BBK2/32 32GB (2x 16GB) DIMM System Memory, 3200MHz, DDR4, CL16, Black, Intel XMP",KINGSTON
ERT-601B,5053118642643,0.73,1,instock,yes,RJ45 (M) to RJ45 (M) CAT6 1m Blue OEM Moulded Boot Copper UTP Network Cable,TARGET
TM8FPK500G0C101,765441062054,63.08,22,instock,yes,"Team MP44L (TM8FPK500G0C101) 500GB NVMe SSD, PCIe Gen4, M.2 Interface, 2280, Read 5000 MB/s, Write 3700 MB/s, 5 Year Warranty",TEAM
KF556C40BB-16,740617325713,167.87,183,instock,yes,Kingston FURY Beast KF556C40BB-16 16GB 5600MHz DDR5 DIMM System Memory,KINGSTON
KCP556SD8-32,740617335040,330.48,24,instock,yes,"Kingston KCP556SD8-32 32GB (1x 32GB) SODIMM System Memory, 5600MHz, DDR5, CL46",KINGSTON
TL-SL1218MP,6935364099817,85.9,5,instock,yes,TP-Link TL-SL1218MP 16-Port Metal 10/100Mbps + 2-Port Gigabit Unmanaged PoE Switch (192W),TP-LINK
DTXM/128GB,740617326376,6.55,506,instock,yes,"Kingston DataTraveler ExodiaM DTXM/128GB USB Flash Drive, 128GB, USB 3.2, Red / Black, Moving Cap Design",KINGSTON
NLHDMI-HSV03,5055781225314,6.67,23,instock,yes,HDMI 1.4 (M) to SVGA & Audio (F) Black OEM Converter Adapter,TARGET
OC200,6935364084233,74.07,220,instock,yes,TP-Link Omada OC200 Hardware Cloud Controller,TP-LINK
